Bailey Smith, Labrador, , Bella Johnson
Bella Johnson, German Shepherd, , Bailey Smith
Max Evans, Golden Retriever, , 
Lucy Parker, French Bulldog, , 
Charlie Campbell, Bulldog, , 
Molly Phillips, Poodle, , 
Buddy Roberts, Beagle, Jack Baker, Buster Wright
Daisy Perez, Rottweiler, , 
Rocky Mitchell, German Short-haired Pointer, , 
Maggie Carter, Corgi, , 
Jake Nelson, Dachshund, , 
Sophie Gonzalez, Yorkshire Terrier, , 
Jack Baker, Australian Shepherd, Buddy Roberts, 
Sadie Adams, Boxer, , 
Toby Green, Siberian Husky, , 
Chloe Scott, Cavalier King Charles Spaniel, , 
Cody Hill, Great Dane, , 
Bailey Lopez, Miniature Schnauzer, , 
Buster Wright, Doberman Pinscher, , Buddy Roberts
Lola King, Shih Tzu, , 
Duke King, Boston Terrier, , 
Zoe Hernandez, Havanese, , 
Cooper Young, Bernese Mountain Dog, , 
Abby Allen, Pomeranian, , 
Riley Hall, Shetland Sheepdog, , 
Ginger Walker, Brittany, , 
Harley Lee, Springer Spaniel, , 
Roxy Lewis, Cocker Spaniel, , 
Bear Rodriguez, Miniature American Shepherd, , 
Gracie Clark, Cane Corso, , 
Tucker Robinson, Pug, , 
Coco Martinez, Mastiff, , 
Murphy Garcia, Border Collie, , 
Sasha Thompson, Vizsla, , 
Lucky Martin, Chihuahua, , 
Lily Harris, Maltese, , 
Oliver White, Basset Hound, , 
Angel Jackson, Collie, , 
Sam Thomas, Weimaraner, , 
Princess Anderson, Newfoundland, , 
Oscar Taylor, Belgian Malinois, , 
Emma Moore, Rhodesian Ridgeback, , 
Teddy Wilson, Bichons Frise, , 
Annie Miller, West Highland White Terrier, , 
Winston Davis, Shiba Inu, , 
Rosie Brown, Chesapeake Bay Retriever, , 
Sammy Jones, Akita, , 
Ruby Williams, St. Bernard, , 
Huey Lewis, Havanese, , 
